überlebt,klasse,geschlecht,alter,geschwister_ehepartner,eltern_kinder,fahrpreis,eingestiegen,klassenbezeichnung,rolle,erwachsener_mann,deck,hafen,lebendig,allein
0,3,männlich,22.0,1,0,7.25,Southampton,Dritte,Mann,True,,Southampton,nein,False
1,1,weiblich,38.0,1,0,71.2833,Cherbourg,Erste,Frau,False,C,Cherbourg,ja,False
1,3,weiblich,26.0,0,0,7.925,Southampton,Dritte,Frau,False,,Southampton,ja,True
1,1,weiblich,35.0,1,0,53.1,Southampton,Erste,Frau,False,C,Southampton,ja,False
0,3,männlich,35.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,nein,True
0,3,männlich,,0,0,8.4583,Queenstown,Dritte,Mann,True,,Queenstown,nein,True
0,1,männlich,54.0,0,0,51.8625,Southampton,Erste,Mann,True,E,Southampton,nein,True
0,3,männlich,2.0,3,1,21.075,Southampton,Dritte,Kind,False,,Southampton,nein,False
1,3,weiblich,27.0,0,2,11.1333,Southampton,Dritte,Frau,False,,Southampton,ja,False
1,2,weiblich,14.0,1,0,30.0708,Cherbourg,Zweite,Kind,False,,Cherbourg,ja,False
1,3,weiblich,4.0,1,1,16.7,Southampton,Dritte,Kind,False,G,Southampton,ja,False
1,1,weiblich,58.0,0,0,26.55,Southampton,Erste,Frau,False,C,Southampton,ja,True
0,3,männlich,20.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,nein,True
0,3,männlich,39.0,1,5,31.275,Southampton,Dritte,Mann,True,,Southampton,nein,False
0,3,weiblich,14.0,0,0,7.8542,Southampton,Dritte,Kind,False,,Southampton,nein,True
1,2,weiblich,55.0,0,0,16.0,Southampton,Zweite,Frau,False,,Southampton,ja,True
0,3,männlich,2.0,4,1,29.125,Queenstown,Dritte,Kind,False,,Queenstown,nein,False
1,2,männlich,,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,ja,True
0,3,weiblich,31.0,1,0,18.0,Southampton,Dritte,Frau,False,,Southampton,nein,False
1,3,weiblich,,0,0,7.225,Cherbourg,Dritte,Frau,False,,Cherbourg,ja,True
0,2,männlich,35.0,0,0,26.0,Southampton,Zweite,Mann,True,,Southampton,nein,True
1,2,männlich,34.0,0,0,13.0,Southampton,Zweite,Mann,True,D,Southampton,ja,True
1,3,weiblich,15.0,0,0,8.0292,Queenstown,Dritte,Kind,False,,Queenstown,ja,True
1,1,männlich,28.0,0,0,35.5,Southampton,Erste,Mann,True,A,Southampton,ja,True
0,3,weiblich,8.0,3,1,21.075,Southampton,Dritte,Kind,False,,Southampton,nein,False
1,3,weiblich,38.0,1,5,31.3875,Southampton,Dritte,Frau,False,,Southampton,ja,False
0,3,männlich,,0,0,7.225,Cherbourg,Dritte,Mann,True,,Cherbourg,nein,True
0,1,männlich,19.0,3,2,263.0,Southampton,Erste,Mann,True,C,Southampton,nein,False
1,3,weiblich,,0,0,7.8792,Queenstown,Dritte,Frau,False,,Queenstown,ja,True
0,3,männlich,,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,nein,True
0,1,männlich,40.0,0,0,27.7208,Cherbourg,Erste,Mann,True,,Cherbourg,nein,True
1,1,weiblich,,1,0,146.5208,Cherbourg,Erste,Frau,False,B,Cherbourg,ja,False
1,3,weiblich,,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,ja,True
0,2,männlich,66.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,nein,True
0,1,männlich,28.0,1,0,82.1708,Cherbourg,Erste,Mann,True,,Cherbourg,nein,False
0,1,männlich,42.0,1,0,52.0,Southampton,Erste,Mann,True,,Southampton,nein,False
1,3,männlich,,0,0,7.2292,Cherbourg,Dritte,Mann,True,,Cherbourg,ja,True
0,3,männlich,21.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,nein,True
0,3,weiblich,18.0,2,0,18.0,Southampton,Dritte,Frau,False,,Southampton,nein,False
1,3,weiblich,14.0,1,0,11.2417,Cherbourg,Dritte,Kind,False,,Cherbourg,ja,False
0,3,weiblich,40.0,1,0,9.475,Southampton,Dritte,Frau,False,,Southampton,nein,False
0,2,weiblich,27.0,1,0,21.0,Southampton,Zweite,Frau,False,,Southampton,nein,False
0,3,männlich,,0,0,7.8958,Cherbourg,Dritte,Mann,True,,Cherbourg,nein,True
1,2,weiblich,3.0,1,2,41.5792,Cherbourg,Zweite,Kind,False,,Cherbourg,ja,False
1,3,weiblich,19.0,0,0,7.8792,Queenstown,Dritte,Frau,False,,Queenstown,ja,True
0,3,männlich,,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,nein,True
0,3,männlich,,1,0,15.5,Queenstown,Dritte,Mann,True,,Queenstown,nein,False
1,3,weiblich,,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,ja,True
0,3,männlich,,2,0,21.6792,Cherbourg,Dritte,Mann,True,,Cherbourg,nein,False
0,3,weiblich,18.0,1,0,17.8,Southampton,Dritte,Frau,False,,Southampton,nein,False
0,3,männlich,7.0,4,1,39.6875,Southampton,Dritte,Kind,False,,Southampton,nein,False
0,3,männlich,21.0,0,0,7.8,Southampton,Dritte,Mann,True,,Southampton,nein,True
1,1,weiblich,49.0,1,0,76.7292,Cherbourg,Erste,Frau,False,D,Cherbourg,ja,False
1,2,weiblich,29.0,1,0,26.0,Southampton,Zweite,Frau,False,,Southampton,ja,False
0,1,männlich,65.0,0,1,61.9792,Cherbourg,Erste,Mann,True,B,Cherbourg,nein,False
1,1,männlich,,0,0,35.5,Southampton,Erste,Mann,True,C,Southampton,ja,True
1,2,weiblich,21.0,0,0,10.5,Southampton,Zweite,Frau,False,,Southampton,ja,True
0,3,männlich,28.5,0,0,7.2292,Cherbourg,Dritte,Mann,True,,Cherbourg,nein,True
1,2,weiblich,5.0,1,2,27.75,Southampton,Zweite,Kind,False,,Southampton,ja,False
0,3,männlich,11.0,5,2,46.9,Southampton,Dritte,Kind,False,,Southampton,nein,False
0,3,männlich,22.0,0,0,7.2292,Cherbourg,Dritte,Mann,True,,Cherbourg,nein,True
1,1,weiblich,38.0,0,0,80.0,,Erste,Frau,False,B,,ja,True
0,1,männlich,45.0,1,0,83.475,Southampton,Erste,Mann,True,C,Southampton,nein,False
0,3,männlich,4.0,3,2,27.9,Southampton,Dritte,Kind,False,,Southampton,nein,False
0,1,männlich,,0,0,27.7208,Cherbourg,Erste,Mann,True,,Cherbourg,nein,True
1,3,männlich,,1,1,15.2458,Cherbourg,Dritte,Mann,True,,Cherbourg,ja,False
1,2,weiblich,29.0,0,0,10.5,Southampton,Zweite,Frau,False,F,Southampton,ja,True
0,3,männlich,19.0,0,0,8.1583,Southampton,Dritte,Mann,True,,Southampton,nein,True
