sofifa_id,player_url,short_name,age,weight_kg,nationality,club,overall,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,team_position,team_jersey_number,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning
158023,https://sofifa.com/player/158023/lionel-messi/20/159586,L. Messi,32,72,Argentina,FC Barcelona,94,"RW, CF, ST",Left,5,4,4,Medium/Low,RW,10.0,2021.0,,,87.0,92.0,92.0,96.0,39.0,66.0,,,,,,
20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/20/159586,Cristiano Ronaldo,34,83,Portugal,Juventus,93,"ST, LW",Right,5,4,5,High/Low,LW,7.0,2022.0,LS,7.0,90.0,93.0,82.0,89.0,35.0,78.0,,,,,,
190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/20/159586,Neymar Jr,27,68,Brazil,Paris Saint-Germain,92,"LW, CAM",Right,5,5,5,High/Medium,CAM,10.0,2022.0,LW,10.0,91.0,85.0,87.0,95.0,32.0,58.0,,,,,,
200389,https://sofifa.com/player/200389/jan-oblak/20/159586,J. Oblak,26,87,Slovenia,AtlÃ©tico Madrid,91,GK,Right,3,3,1,Medium/Medium,GK,13.0,2023.0,GK,1.0,,,,,,,87.0,92.0,78.0,89.0,52.0,90.0
183277,https://sofifa.com/player/183277/eden-hazard/20/159586,E. Hazard,28,74,Belgium,Real Madrid,91,"LW, CF",Right,4,4,4,High/Medium,LW,7.0,2024.0,LF,10.0,91.0,83.0,86.0,94.0,35.0,66.0,,,,,,
192985,https://sofifa.com/player/192985/kevin-de-bruyne/20/159586,K. De Bruyne,28,70,Belgium,Manchester City,91,"CAM, CM",Right,4,5,4,High/High,RCM,17.0,2023.0,RCM,7.0,76.0,86.0,92.0,86.0,61.0,78.0,,,,,,
192448,https://sofifa.com/player/192448/marc-andre-ter-stegen/20/159586,M. ter Stegen,27,85,Germany,FC Barcelona,90,GK,Right,3,4,1,Medium/Medium,GK,1.0,2022.0,SUB,22.0,,,,,,,88.0,85.0,88.0,90.0,45.0,88.0
203376,https://sofifa.com/player/203376/virgil-van-dijk/20/159586,V. van Dijk,27,92,Netherlands,Liverpool,90,CB,Right,3,3,2,Medium/Medium,LCB,4.0,2023.0,LCB,4.0,77.0,60.0,70.0,71.0,90.0,86.0,,,,,,
177003,https://sofifa.com/player/177003/luka-modric/20/159586,L. ModriÄ,33,66,Croatia,Real Madrid,90,CM,Right,4,4,4,High/High,RCM,10.0,2020.0,,,74.0,76.0,89.0,89.0,72.0,66.0,,,,,,
209331,https://sofifa.com/player/209331/mohamed-salah/20/159586,M. Salah,27,71,Egypt,Liverpool,90,"RW, ST",Left,3,3,4,High/Medium,RW,11.0,2023.0,RW,10.0,93.0,86.0,81.0,89.0,45.0,74.0,,,,,,
231747,https://sofifa.com/player/231747/kylian-mbappe/20/159586,K. MbappÃ©,20,73,France,Paris Saint-Germain,89,"ST, RW",Right,3,4,5,High/Low,RW,7.0,2022.0,RM,10.0,96.0,84.0,78.0,90.0,39.0,75.0,,,,,,
