Jahreszeit,Temperatur,Niederschlag
Winter,5.0,14.7
Winter,7.4,23.1
Winter,7.5,33.0
Winter,5.3,6.6
Winter,5.6,3.4
Winter,1.9,1.3
Winter,-2.4,0.0
Winter,-5.5,0.0
Winter,-6.2,0.0
Winter,-5.6,0.0
Winter,-3.4,0.0
Winter,-1.5,0.3
Winter,-0.3,1.9
Winter,-1.2,4.0
Winter,-1.3,8.0
Winter,-2.8,0.0
Winter,-3.5,9.7
Winter,-2.8,0.0
Winter,-2.8,0.6
Winter,-2.8,0.0
Winter,0.8,2.7
Winter,6.0,7.0
Winter,5.0,8.2
Winter,8.5,0.7
Winter,5.5,3.6
Winter,6.4,6.7
Winter,1.9,0.0
Winter,6.0,0.0
Winter,8.5,0.0
Winter,7.8,0.3
Winter,4.0,6.7
Winter,4.3,0.2
Winter,4.7,2.0
Winter,7.5,11.1
Winter,8.2,10.9
Winter,7.4,0.7
Winter,7.4,20.1
Winter,3.1,5.1
Winter,4.1,24.1
Winter,9.1,7.0
Winter,9.0,0.0
Winter,7.0,2.5
Winter,5.0,0.1
Winter,4.4,0.5
Winter,7.6,10.6
Winter,11.1,1.2
Winter,11.0,4.0
Winter,7.8,0.6
Winter,6.9,13.1
Winter,6.6,5.5
Winter,6.0,0.0
Winter,6.4,7.8
Winter,7.9,4.4
Winter,4.1,0.2
Winter,3.3,4.8
Winter,4.1,0.2
Winter,4.3,4.0
Winter,3.4,0.0
Winter,2.2,0.0
Winter,6.2,0.0
Frühling,6.3,0.0
Frühling,8.4,0.0
Frühling,10.0,0.0
Frühling,5.6,0.7
Frühling,4.9,3.1
Frühling,4.3,0.0
Frühling,2.6,0.0
Frühling,3.6,0.0
Frühling,6.9,0.0
Frühling,9.1,5.8
Frühling,5.9,12.1
Frühling,5.7,0.8
Frühling,7.9,1.6
Frühling,10.5,0.0
Frühling,10.1,11.0
Frühling,6.5,1.5
Frühling,6.6,2.8
Frühling,8.6,0.0
Frühling,9.5,0.0
Frühling,11.6,0.0
Frühling,9.2,0.1
Frühling,9.4,7.9
Frühling,3.4,8.2
Frühling,3.1,12.8
Frühling,4.8,0.0
Frühling,7.3,0.0
Frühling,8.0,0.0
Frühling,6.2,7.4
Frühling,8.5,3.0
Frühling,11.1,2.4
Frühling,10.9,8.8
Frühling,8.3,9.0
Frühling,7.5,6.1
Frühling,8.6,7.0
Frühling,9.4,15.5
Frühling,12.7,1.6
Frühling,18.4,0.0
Frühling,17.3,3.0
Frühling,16.1,0.6
Frühling,11.3,5.8
Frühling,8.3,0.0
Frühling,10.3,0.0
Frühling,13.1,0.0
Frühling,16.5,0.0
Frühling,12.0,3.6
Frühling,6.2,7.3
Frühling,4.7,15.3
Frühling,3.6,4.9
Frühling,5.2,6.4
Frühling,4.5,29.2
Frühling,3.8,15.4
Frühling,2.4,0.3
Frühling,2.7,0.0
Frühling,3.5,0.6
Frühling,3.1,5.7
Frühling,4.6,0.1
Frühling,8.0,0.0
Frühling,11.8,0.0
Frühling,13.1,0.0
Frühling,13.0,0.0
Frühling,17.1,0.0
Frühling,19.4,0.0
Frühling,17.9,23.0
Frühling,9.7,1.4
Frühling,10.3,9.4
Frühling,11.1,0.0
Frühling,11.7,23.6
Frühling,12.0,0.0
Frühling,11.9,0.0
Frühling,13.3,0.0
Frühling,14.9,0.0
Frühling,15.7,0.0
Frühling,17.7,0.0
Frühling,18.4,0.0
Frühling,19.2,0.0
Frühling,17.0,0.0
Frühling,14.3,4.6
Frühling,13.5,0.0
Frühling,14.4,0.0
Frühling,13.4,0.3
